学名 withAuthor,和名,別名,ステータス,LAPG 科名,LAPG Family,LAPG no.,Cronquist 科名,Cronquist family,cronquist No.,Engler 科名,Engler family,Engler no.,生態,学名,修正日,ID,発表年,LAPGII::LAPG Family広義,LAPGII::LAPG Order,LAPGII::LAPG 目,LAPGII::LAPGno.,LAPGII::LAPG科名,LAPGII::LAPG Family狭義
Puccinellia sachalinensis Ohwi,アレチタチドジョウツナギ,カラフトドジョウツナギ,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,帰,Puccinellia sachalinensis,2014.01.19,44889,1933,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Beckmannia hirsutiflora (Roshev.) Probat.,ケミノゴメ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Beckmannia hirsutiflora,2015.02.10,44890,1981,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Agrostis vinealis Schreb.  subsp. kudoi (Honda) Tzvelev,クロヌカボ,,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Agrostis vinealis subsp. kudoi,2014.01.18,44891,1971,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Agrostis kudoi Honda ex Miyabe et Kudô ,クロヌカボ,クドウヌカボ,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Agrostis kudoi,2014.01.19,44892,1931,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
"Sasa borealis (Hack.) Makino et Shibata  var. chiisanensis (Nakai) T.B.Lee, comb. nud.",スズタケ,コウライスズ,synonym,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Sasa borealis var. chiisanensis,2018.04.03,44894,0,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Sasa coreana Nakai,コウライザサ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,外,Sasa coreana,2018.04.05,44895,1917,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Zoysia sinica Hance,ナガミノオニシバ,"オオハリシバ, コオニシバ",広義,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Zoysia sinica,2020.01.01,44896,1869,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Acorus gramineus Sol. ex Aiton  var. japonicus M.Hotta,セキショウ,,synonym,ショウブ科,Acoraceae,771001010,ショウブ科,ショウブ科,720,サトイモ科,Araceae,643,,Acorus gramineus var. japonicus,2014.01.19,44897,1970,ACORACEAE,ALISMATALES,オモダカ目,771001010,ショウブ科,Acoraceae
Arisaema amurense Maxim.  f. violaceum (Engl.) Kitag.,ムラサキアムールテンナンショウ,,synonym,サトイモ科,Araceae,771001020,サトイモ科,サトイモ科,721,サトイモ科,Araceae,643,外,Arisaema amurense f. violaceum,2014.01.19,44898,1966,ARACEAE,ALISMATALES,オモダカ目,771002010,サトイモ科,Araceae
Arisaema peninsulae Nakai  f. convolutum (Nakai) Y.Kim et S.C.Ko,コウライテンナンショウ,,synonym,サトイモ科,Araceae,771001020,サトイモ科,サトイモ科,721,サトイモ科,Araceae,643,,Arisaema peninsulae f. convolutum,2014.01.19,44899,1985,ARACEAE,ALISMATALES,オモダカ目,771002010,サトイモ科,Araceae
