type,record_id,plant_name,from,to
family_align_ylist,hostplant-kamikiri-audit-20260625-0469,ミツデカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0470,ミツデカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0471,ミツデカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0472,カジカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0473,カジカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0474,カラコギカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0477,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0478,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0479,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0480,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0481,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0482,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0483,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0484,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0485,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0486,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0487,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0488,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0489,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0490,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0491,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0492,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0493,イタヤカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0498,メグスリノキ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0500,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0501,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0502,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0503,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0504,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0505,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0506,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0507,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0508,イロハモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0509,オオモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0510,オオモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0511,オオモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0512,オオモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0513,オオモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0514,オオモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0515,オオモミジ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0516,ウリハダカエデ,カエデ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0517,ウリハダカエデ,カエデ科,ムクロジ科
