row,record_id,insect_id,plant_name,filled_family,ylist_canonical,ylist_scientific_name,factcheck_source
12859,hostplant-B1B6-0759,species-3850,コウヤマキ,コウヤマキ科,コウヤマキ,Sciadopitys verticillata,public/assets/data-lite/ylist-lite.json
12861,hostplant-B1B6-0761,species-3850,カヤ,イチイ科,カヤ,Torreya nucifera,public/assets/data-lite/ylist-lite.json
12863,hostplant-B1B6-0763,species-3852,クマヤナギ,クロウメモドキ科,クマヤナギ,Berchemia racemosa,public/assets/data-lite/ylist-lite.json
12864,hostplant-B1B6-0764,species-3852,ミヤマクマヤナギ,クロウメモドキ科,ミヤマクマヤナギ,Berchemia pauciflora,public/assets/data-lite/ylist-lite.json
12865,hostplant-B1B6-0765,species-3852,イソノキ,クロウメモドキ科,イソノキ,Frangula crenata,public/assets/data-lite/ylist-lite.json
12872,hostplant-B1B6-0772,species-3855,キンギンボク,スイカズラ科,キンギンボク,Lonicera morrowii,public/assets/data-lite/ylist-lite.json
12873,hostplant-B1B6-0773,species-3855,スイカズラ,スイカズラ科,スイカズラ,Lonicera japonica,public/assets/data-lite/ylist-lite.json
12874,hostplant-B1B6-0774,species-3855,ツクバネウツギ,スイカズラ科,ツクバネウツギ,Abelia spathulata,public/assets/data-lite/ylist-lite.json
12875,hostplant-B1B6-0775,species-3855,ハマニンドウ,スイカズラ科,ハマニンドウ,Lonicera affinis,public/assets/data-lite/ylist-lite.json
12876,hostplant-B1B6-0776,species-3857,キンギンボク,スイカズラ科,キンギンボク,Lonicera morrowii,public/assets/data-lite/ylist-lite.json
12877,hostplant-B1B6-0777,species-3857,スイカズラ,スイカズラ科,スイカズラ,Lonicera japonica,public/assets/data-lite/ylist-lite.json
12878,hostplant-B1B6-0778,species-3857,ツクバネウツギ,スイカズラ科,ツクバネウツギ,Abelia spathulata,public/assets/data-lite/ylist-lite.json
12879,hostplant-B1B6-0779,species-3857,ハマニンドウ,スイカズラ科,ハマニンドウ,Lonicera affinis,public/assets/data-lite/ylist-lite.json
12880,hostplant-B1B6-0780,species-3858,ハマニンドウ,スイカズラ科,ハマニンドウ,Lonicera affinis,public/assets/data-lite/ylist-lite.json
12881,hostplant-B1B6-0781,species-3858,キダチニンドウ,スイカズラ科,キダチニンドウ,Lonicera hypoglauca,public/assets/data-lite/ylist-lite.json
12883,hostplant-B1B6-0783,species-3863,ツタウルシ,ウルシ科,ツタウルシ,Toxicodendron orientale subsp. orientale,public/assets/data-lite/ylist-lite.json
12885,hostplant-B1B6-0785,species-3864,タブノキ,クスノキ科,タブノキ,Machilus thunbergii,public/assets/data-lite/ylist-lite.json
12886,hostplant-B1B6-0786,species-3864,クスノキ,クスノキ科,クスノキ,Cinnamomum camphora,public/assets/data-lite/ylist-lite.json
12891,hostplant-B1B6-0795,species-3867,イヌマキ,マキ科,イヌマキ,Podocarpus macrophyllus f. angustifolius,public/assets/data-lite/ylist-lite.json
12892,hostplant-B1B6-0796,species-3867,ナギ,マキ科,ナギ,Nageia nagi,public/assets/data-lite/ylist-lite.json
12893,hostplant-B1B6-0797,species-3868,コマユミ,ニシキギ科,コマユミ,Euonymus alatus f. striatus,public/assets/data-lite/ylist-lite.json
12894,hostplant-B1B6-0798,species-3868,マサキ,ニシキギ科,マサキ,Euonymus japonicus,public/assets/data-lite/ylist-lite.json
12898,hostplant-B1B6-0803,species-3872,イチイ,イチイ科,イチイ,Taxus cuspidata,public/assets/data-lite/ylist-lite.json
12899,hostplant-B1B6-0804,species-3872,キャラボク,イチイ科,キャラボク,Taxus cuspidata var. nana,public/assets/data-lite/ylist-lite.json
12900,hostplant-B1B6-0805,species-3872,チャボガヤ,イチイ科,チャボガヤ,Torreya nucifera var. radicans,public/assets/data-lite/ylist-lite.json
12903,hostplant-B1B6-0808,species-3873,モミ,マツ科,モミ,Abies firma,public/assets/data-lite/ylist-lite.json
12904,hostplant-B1B6-0809,species-3873,トドマツ,マツ科,トドマツ,Abies sachalinensis,public/assets/data-lite/ylist-lite.json
12905,hostplant-B1B6-0810,species-3877,クヌギ,ブナ科,クヌギ,Quercus acutissima,public/assets/data-lite/ylist-lite.json
12906,hostplant-B1B6-0811,species-3877,コナラ,ブナ科,コナラ,Quercus serrata,public/assets/data-lite/ylist-lite.json
12908,hostplant-B1B6-0815,species-3874,ブナ,ブナ科,ブナ,Fagus crenata,public/assets/data-lite/ylist-lite.json
