src_insect_id,no,japanese_name,scientific_name,atlas_key,hostplants,candidate_count,candidates,candidate_scientific_names,candidate_japanese_names,candidate_scores,candidate_reasons,status
species-21671,104,ハンショウヅルコブアブラムシ,Myzus varians Davidson,Myzus varians,スモモ / モモ / ボタンヅル / センニンソウ,0,,,,,,no_candidates
species-21672,105,,Myzus sp.,Myzus sp.,葉,0,,,,,,unresolvable_sp
species-21673,106,クワクサヒゲナガアブラムシ,Eomyzus kuwanusae (Uye),Eomyzus kuwanusae,クワクサ,0,,,,,,no_candidates
species-21674,107,シソコブアブラムシ,Eomyzus nipponicus (Moritsu),Eomyzus nipponicus,シソ,2,species-21474;species-21113,"Ovatus nipponicus Takahashi, 1965 | Symydobius alniarius nipponicus Sorin, 2014","ハッカコブアブラムシ | ",30;0,"accepted-epithet | ",has_candidates
species-21679,112,イチゴケナガアブラムシ,Capitophorus fragariaefolii (Cockerell),Capitophorus fragariaefolii,イチゴ,0,,,,,,no_candidates
species-21681,114,アキノタムラソウコブアブラムシ,Chaetomyzus hirticornis Takahashi,Chaetomyzus hirticornis,トウバナ / アキノタムラソウ,0,,,,,,no_candidates
species-21682,115,シクラメンコブアブラムシ,Neomyzus circumflexus (Buckton),Neomyzus circumflexus,シクラメン / カルセオラリア / シネラリア,0,,,,,,no_candidates
species-21683,116,ホップイボアブラムシ,Phorodon humuli Schrank,Phorodon humuli,ホップ / カナムグラ / スモモ / ウメ,0,,,,,,no_candidates
species-21685,118,,Neotoxoptera sp.,Neotoxoptera sp.,茎と葉裏,0,,,,,,unresolvable_sp
species-21686,119,ウツギアブラムシ,Micromyzus diervillae (Matsumura),Micromyzus diervillae,ハコネウツギ / タニウツギ / ツクシヤブウツギ,0,,,,,,no_candidates
species-21687,120,ニッコウコブアブラムシ,Micromyzus nikkoensis Miyazaki ?,Micromyzus nikkoensis,ヤマドリゼンマイ,1,species-21125,"Tinocallis nikkoensis Higuchi, 1972",ニッコウヒゲマダラアブラムシ (新称),30,accepted-epithet,has_candidates
species-21692,125,,Tuberocephalus sp.,Tuberocephalus sp.,葉,0,,,,,,unresolvable_sp
species-21696,129,ヤマハッカアブラムシ,Eumyzus plectranthi (Shinji),Eumyzus plectranthi,トウバナ / ヤマハッカ,1,species-21459,"Megouroleum plectranthi (Shinji, 1939),ヒキオコシハマキコブアブラムシ (新称) (ヒキオコシコブアブラムシ",ヤマハッカコブアブラムシ),40,accepted-epithet;hostplant-in-jp(1),has_candidates
species-21697,130,オオダイヨソオアブラムシ,Akkaia odaiensis Takahashi,Akkaia odaiensis,ミゾソバ / ドウダンツツジ,1,species-21073,"Betacallis odaiensis Takahashi, 1961",カバヒゲナガマダラアブラムシ,30,accepted-epithet,has_candidates
species-21698,131,タデヨソオヒゲナガアブラムシ,Akkaia polygoni Takahashi,Akkaia polygoni,ミゾソバ / ドウダンツツジ,3,species-21267;species-21509;species-21260,"Aphis polygoni polygoni Shinji, 1935 | Trichosiphonaphis (Trichosiphonaphis) polygoni (Narzikulov, 1953) | Aphis neopolygoni neopolygoni Shinji, 1939"," | ムカゴトラノオミゾアブラムシ (新称) | ",30;30;0,"accepted-epithet | accepted-epithet | ",has_candidates
species-21706,139,イシミカワイボアブラムシ,Trichosiphonaphis ishimikawae (Shinji),Trichosiphonaphis ishimikawae,イシミカワ / ママコノシリヌグイ,0,,,,,,no_candidates
species-21707,140,スイカズラヒゲナガアブラムシ,Trichosiphonaphis lonicerae (Uye),Trichosiphonaphis lonicerae,スイカズラ,0,,,,,,no_candidates
species-21709,142,タデケクダヒゲナガアブラムシ,Trichosiphonaphis polygoniformosanus (Takahashi),Trichosiphonaphis polygoniformosanus,ミゾソバ / ウナギツカミ,0,,,,,,no_candidates
species-21710,143,タデヒゲナガアブラムシ,Trichosiphonaphis tade (Shinji),Trichosiphonaphis tade,ミゾソバ,1,species-21442,"Macrosiphum tadecola Shinji, 1935",,0,,has_candidates
species-21713,146,フウロケマンアブラムシ,Hyalopteroides corydalisicola (Tao),Hyalopteroides corydalisicola,キケマン / フウロケマン,1,species-21417,Longicaudus corydalisicola,1962),30,accepted-epithet,has_candidates
species-21722,155,ヨモギクレアブラムシ,Coloradoa artemisiae (Del Guercio),Coloradoa artemisiae,ヨモギ,5,species-21291;species-21512;species-21254;species-21426;species-21508,"Cryptosiphum artemisiae Buckton,1879 | Tuberocephalus artemisiae Shinji, 1929 | Aphis kurosawai kurosawai Takahashi, 1921 | Macrosiphoniella formosartemisiae Takahashi, 1921 | Titanosiphon neoartemisiae (Takahashi, 1921)",ヨモギクダナシアブラムシ | ヨモギオキボアブラムシ | ヨモギヘラアブラムシ | オトコヨモギヒメヒゲナガアブラムシ | カワラヨモギヒゲナガアブラムシ,40;40;10;10;10,accepted-epithet;hostplant-in-jp(1) | accepted-epithet;hostplant-in-jp(1) | hostplant-in-jp(1) | hostplant-in-jp(1) | hostplant-in-jp(1),has_candidates
