insect_id,japanese_name,scientific_name,hostplant_count,general_note_count,notes
"species-22121","フトヒゲアメイロカミキリ 基亜種","Obrium takahashii takahashii Kusama & Takakuwa, 1984","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22123","ツマグロアメイロカミキリ 基亜種","Pseudiphra apicalis apicalis (Schwarzer, 1925)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22126","フタモンアメイロカミキリ 基亜種","Pseudiphra bicolor bicolor Nara & Kusui, 1974","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22129","カッコウメダカカミキリ","Stenhomalus (Stenhomalus) cleroides Bates, 1873","1","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22130","ムネアカメダカカミキリ 本土亜種","Stenhomalus (Stenhomalus) incongruus muneaka Hayashi, 1981","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22132","トワダムモンメダカカミキリ","Stenhomalus (Stenhomalus) japonicus (Pic, 1904)","3","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22134","ウスモンメダカカミキリ","Stenhomalus (Stenhomalus) kumaso Niisato & Makihara, 1991","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22136","キイロメダカカミキリ","Stenhomalus (Stenhomalus) nagaoi Hayashi, 1960","1","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22137","タイワンメダカカミキリ","Stenhomalus (Stenhomalus) taiwanus Matsushita, 1933","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22139","リュウキュウメダカアメイロカミキリ","Uenobrium piceorubrum takeshitai (Niisato & Ohmomo, 1994)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22140","トビイロカミキリ","Allotraeus (Allotraeus) sphaerioninus Bates, 1877","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22142","リュウキュウトビイロカミキリ 基亜種","Nysina insularis insularis (Mitono, 1947)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22144","アマミトビイロカミキリ","Allotraeus (Nysina) amamiensis Hayashi, 1961","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
"species-22146","トゲヒゲトビイロカミキリ","Nysina rufescens (Pic, 1923)","0","1","日本列島の甲虫全種目録(2026)参照。食草・生態情報は未入力。"
