kind,insect_id,normalized_japanese_name,public_japanese_name,normalized_scientific_name,public_scientific_name
"mismatch","species-3350","ヤエヤマイカリモンノメイガ","ヤエヤマイカリモンノメイガ","Agrioglypta sp. of Sasaki, 2004","Agrioglypta sp. of Sasaki, 2004"
"mismatch","species-3550","シロオビヒメエダシャク","シロオビヒメエダシャク","Lomaspilis marginata (Linnaeus, 1758)","Lomaspilis marginata (Linnaeus, 1758)"
"mismatch","species-3554","クロフヒメエダシャク","クロフヒメエダシャク","Peratophyga hyalinata (Kollar, 1844)","Peratophyga hyalinata (Kollar, 1844)"
"mismatch","species-3592","マルハグルマエダシャク","マルハグルマエダシャク","Synegia ichinosawaiana (Matsumura, 1925)","Synegia ichinosawaiana (Matsumura, 1925)"
"mismatch","species-3730","リンゴツノエダシャク","リンゴツノエダシャク","Phthonosema tendinosaria (Bremer, 1864)","Phthonosema tendinosaria (Bremer, 1864)"
"mismatch","species-3731","トビネオオエダシャク","トビネオオエダシャク","Phthonosema invenustaria (Leech, 1891)","Phthonosema invenustaria (Leech, 1891)"
"mismatch","species-3769","トビモンオオエダシャク","トビモンオオエダシャク","Biston robustum Butler, 1879","Biston robustum Butler, 1879"
"mismatch","species-3945","ハラアカヒメアオシャク","ハラアカヒメアオシャク","Hemithea beethoveni Inoue, 1942","Hemithea beethoveni Inoue, 1942"
"mismatch","species-3965","クロモンアオシャク","クロモンアオシャク","Comibaena delicatior (Warren, 1897)","Comibaena delicatior (Warren, 1897)"
"mismatch","species-4982","クニガミキノカワガ","クニガミキノカワガ","Gadirtha sp. of Kishida, 2011","Gadirtha sp. of Kishida, 2011"
"mismatch","species-5139","チャバネフタオビアツバ","チャバネフタオビアツバ","Hypena sp. (sp. 1) of Kishida, 2011","Hypena sp. (sp. 1) of Kishida, 2011"
"mismatch","species-5150","メスカバフアツバ","メスカバフアツバ","Hypena sp. (sp. 2) of Kishida, 2011","Hypena sp. (sp. 2) of Kishida, 2011"
"mismatch","species-5152","ヒロミアツバ","ヒロミアツバ","Hypena sp. of Tominaga, 2015","Hypena sp. of Tominaga, 2015"
"mismatch","species-5154","ナカウスオビアツバ","ナカウスオビアツバ","Hypena sp. (sp. 3) of Kishida, 2011","Hypena sp. (sp. 3) of Kishida, 2011"
"mismatch","species-5289","ボニンアカマエアツバ","ボニンアカマエアツバ","Simplicia sp. of Yanagita & Nakajima, 1999","Simplicia sp. of Yanagita & Nakajima, 1999"
"mismatch","species-5629","ヒメシロマダラコヤガ","ヒメシロマダラコヤガ","Protodeltote sp. of Doi, 2005","Protodeltote sp. of Doi, 2005"
"mismatch","species-H136","オオバコアシナガトビハムシ","オオバコアシナガトビハムシ","Longitarsus scutellaris (Rey, 1873)","Longitarsus scutellaris (Rey, 1873); Longitarsus lewisi(Baly, 1874)"
"mismatch","species-H189","キスジノミハムシ","キスジノミハムシ","Phyllotreta striolata (Fabricius, 1803)","Phyllotreta striolata (Fabricius, 1803); Crioceris vittata Fabricius 1801"
"mismatch","species-H478","クロルリトゲハムシ","クロルリトゲハムシ","Rhadinosa nigrocyanea (Motschulsky, 1861)","Rhadinosa nigrocyanea (Motschulsky, 1861);ムナグロナガツツハムシ"
"mismatch","species-H592","クロボシツツハムシ","クロボシツツハムシ","Cryptocephalus luridipennis Suffrian, 1854","Cryptocephalus luridipennis Suffrian, 1854; Cryptocephalus signaticeps Baly, 1873"
"mismatch","species-H673","キバラツメヒメハムシ","キバラツメヒメハムシ","Exosoma flaviventre (Motschulsky, 1860)","Exosoma flaviventre (Motschulsky, 1860);キバラルリヒゲナガハムシ"
"mismatch","species-H741","","","Chrysolina (Bourdonneana) koltzei brunneipennis (Matsumura, 1911)","Chrysolina (Bourdonneana) koltzei brunneipennis (Matsumura, 1911);サハリン産で記載"
"mismatch","species-H780","","","Paropsides duodecimpustulatus (Gebler, 1825)","Paropsides duodecimpustulatus (Gebler, 1825); Paropsides duodecimpustulatus yuasai Ohno, 1958"
"mismatch","species-H801","","","Clitea metallica Chen, 1933","Clitea metallica Chen, 1933; Clitea citri Chûjô, 1958"
"mismatch","species-H803","","","Longitarsus (Longitarsus) ihai Chûjô, 1958","Longitarsus (Longitarsus) ihai Chûjô, 1958; Aphthona opaca Allard, 1889"
"mismatch","species-H812","","","Manobidia simplicithorax Chen, 1934","Manobidia simplicithorax Chen, 1934; Aphthonomorpha fulva Chûjô, 1957"
"mismatch","species-H819","","","Chaetocnema formosensis Chûjô, 1935","Chaetocnema formosensis Chûjô, 1935; Chaetocnema (Chaetocnema) bella (Baly, 1876)"
"mismatch","species-H843","","","Luperomorpha japonica Chujo & Ohno, 1965","Luperomorpha japonica Chujo & Ohno, 1965;ムネアカオオホソトビハムシ"
"mismatch","species-H851","","","Crepidodera laevicollis Jacoby, 1885","Crepidodera laevicollis Jacoby, 1885; Asiorestia laevicollis (Jacoby, 1885)"
"mismatch","species-H853","","","Nonarthra variabilis Baly, 1862","Nonarthra variabilis Baly, 1862 とされていたが、Lee(2014)で復活;"
"mismatch","species-H865","","","Sphaeroderma nigripes Kimoto, 1965","Sphaeroderma nigripes Kimoto, 1965; Sphaeroderma nigripes S. -H. Chen, 1934"
"mismatch","species-H871","","","Trachyaphthona collaris Kimoto, 1996","Trachyaphthona collaris Kimoto, 1996;台湾がタイプロカリティ;"
"mismatch","species-H872","","","Zipangia lewisi (Jacoby, 1885)","Zipangia lewisi (Jacoby, 1885);"
"mismatch","species-H884","","","Pyrrhalta lineola (Fabricius, 1781)","Pyrrhalta lineola (Fabricius, 1781);"
"mismatch","species-H887","","","Pyrrhalta humeralis (Chen, 1942)","Pyrrhalta humeralis (Chen, 1942);"
"mismatch","species-H889","","","Lochmaea (Tricholochmaea) takeii Chûjô, 1950","Lochmaea (Tricholochmaea) takeii Chûjô, 1950; Tricholochmaea takeii (Chûjô, 1950)"
"mismatch","species-H895","","","Taumacera tibialis (Jacoby, 1885)","Taumacera tibialis (Jacoby, 1885);トゲアシヒゲナガハムシ"
"mismatch","species-H901","","","Exosoma amamiense (Nakane & Kimoto, 1961)","Exosoma amamiense (Nakane & Kimoto, 1961); Calomicrus amamiensis Nakane & Kimoto, 1961"
