insect_id,japanese_name,scientific_name,reason
species-3794,ハルタウスクモエダシャク,"Menophra harutai (Inoue, 1954)",not_in_input
species-3795,エゾウスクモエダシャク,"Phthonandria emaria (Bremer, 1864)",not_in_input
species-3796,クワエダシャク,"Phthonandria atrilineata (Butler, 1881)",not_in_input
species-3797,ヒゲマダラエダシャク,"Cryptochorina amphidasyaria (Oberthür, 1880)",not_in_input
species-3798,ギンスジエダシャク,"Chariaspilates formosaria (Eversmann, 1837)",not_in_input
species-3799,フタスジギンエダシャク,"Megaspilates mundataria (Stoll, 1782)",not_in_input
species-3800,ハスオビカバエダシャク,"Pseudaspilates obliquizona (Inoue, 1953)",not_in_input
species-3801,クロモンキリバエダシャク,"Psyra bluethgeni (Püngeler, 1903)",not_in_input
species-3802,ミスジキリバエダシャク,"Psyra boarmiata (Graeser, 1892)",not_in_input
species-3803,サラサエダシャク,"Epholca arenosa (Butler, 1878)",not_in_input
species-3804,シロモンクロエダシャク,"Proteostrenia leda (Butler, 1878)",not_in_input
species-3805,モンキクロエダシャク,"Proteostrenia pica Wileman, 1911",not_in_input
species-3806,ハスオビキエダシャク,"Scardamia aurantiacaria Bremer, 1864",not_in_input
species-3807,ナンゴクハスオビキエダシャク,"Scardamia xylosmaria Sato, Fu & Kawakami, 2011",not_in_input
species-3808,マエキトビエダシャク,"Nothomiza formosa (Butler, 1878)",not_in_input
species-3809,オオマエキトビエダシャク,"Nothomiza oxygoniodes Wehrli, 1939",not_in_input
species-3810,キリバエダシャク,"Ennomos nephotropa Prout, 1930",not_in_input
species-3811,ヒメキリバエダシャク,"Ennomos infidelis (Prout, 1929)",not_in_input
species-3812,フタモンキバネエダシャク,"Crocallis elinguaria (Linnaeus, 1758)",not_in_input
species-3813,ヨスジキエダシャク,"Cotta incongruaria (Walker, 1860)",not_in_input
species-3814,ウスグロノコバエダシャク,"Odontopera bidentata (Clerck, 1759)",not_in_input
species-3815,エグリヅマエダシャク,"Odontopera arida (Butler, 1878)",not_in_input
species-3816,キイロエグリヅマエダシャク,"Odontopera aurata (Prout, 1915)",not_in_input
species-3817,オガサワラエグリヅマエダシャク,"Odontopera ogasawarensis Kimura & Sato, 2017",not_in_input
species-3819,ヒメノコメエダシャク,"Acrodontis kotshubeji Sheljuzhko, 1944",not_in_input
species-3820,タンチャメノコメエダシャク,"Acrodontis tanchame Kobayashi, 1995",not_in_input
species-3821,マダラノコメエダシャク,"Acrodontis yazakii Kobayashi, 1995",not_in_input
species-3822,モンシロツマキリエダシャク,"Xerodes albonotaria (Bremer, 1894)",not_in_input
species-3823,ミスジツマキリエダシャク,"Xerodes rufescentaria (Motschulsky, 1861)",not_in_input
species-3824,コガタツマキリエダシャク,"Xerodes sordidata (Inoue, 1987)",not_in_input
species-3825,アカエダシャク,"Xerodes semilutata (Lederer, 1853)",not_in_input
species-3826,ミカンコエダシャク,"Hyposidra talaca (Walker, 1860)",not_in_input
species-3827,キマダラツマキリエダシャク,"Zanclidia testacea (Butler, 1881)",not_in_input
species-3828,キイロミミモンエダシャク,"Eilicrinia parvula Wehrli, 1940",not_in_input
species-3829,ミミモンエダシャク,"Eilicrinia wehrlii Djakonov, 1933",not_in_input
species-3830,キエダシャク,"Auaxa sulphurea (Butler, 1878)",not_in_input
species-3832,テンモンチビエダシャク,"Ocoelophora lentiginosaria (Leech, 1891)",not_in_input
species-3833,ツマキリウスキエダシャク,"Pareclipsis gracilis (Butler, 1879)",not_in_input
species-3834,ハガタムラサキエダシャク,"Selenia sordidaria Leech, 1897",not_in_input
species-3835,ウスムラサキエダシャク,"Selenia adustaria Leech, 1891",not_in_input
species-3836,ムラサキエダシャク,"Selenia tetralunaria (Hufnagel, 1767)",not_in_input
species-3837,イチモジエダシャク,"Apeira syringaria (Linnaeus, 1758)",not_in_input
species-3838,コガタイチモジエダシャク,"Agaraeus parva (Hedemann, 1881)",not_in_input
species-3839,エグリイチモジエダシャク,"Agaraeus discolor (Warren, 1893)",not_in_input
species-3840,ナシモンエダシャク,"Garaeus mirandus (Butler, 1881)",not_in_input
species-3841,キバラエダシャク,"Garaeus specularis Moore, 1868",not_in_input
species-3842,ウラモンアカマダラエダシャク,"Entomopteryx combusta (Warren, 1893)",not_in_input
species-3843,トガリエダシャク,"Xyloscia subspersata (Felder & Rogenhofer, 1875)",not_in_input
species-3844,ツマキリエダシャク,"Endropiodes abjecta (Butler, 1879)",not_in_input
species-3845,モミジツマキリエダシャク,"Endropiodes indictinaria (Bremer, 1864)",not_in_input
species-3846,ツツジツマキリエダシャク,"Endropiodes circumflexa Inoue, 1976",not_in_input
species-3847,ナカキエダシャク,"Plagodis dolabraria (Linnaeus, 1767)",not_in_input
species-3848,コナフキエダシャク,"Plagodis pulveraria (Linnaeus, 1758)",not_in_input
species-3849,ベンチガーエダシャク,"Hypochrosis baenzigeri Inoue, 1982",not_in_input
species-3850,リョクモンエダシャク,"Celenna festivaria (Fabricius, 1794)",not_in_input
species-3851,フタテンエダシャク,"Seleniopsis evanescens (Butler, 1881)",not_in_input
species-3852,ウラモンアカエダシャク,"Parepione grata (Butler, 1879)",not_in_input
species-3853,フタマエホシエダシャク,"Achrosis paupera (Butler, 1881)",not_in_input
species-3854,アトボシエダシャク,"Cepphis advenaria (Hübner, 1790)",not_in_input
species-3855,ベニスジエダシャク,"Heterolocha stulta (Butler, 1879)",not_in_input
species-3856,ヒメウラベニエダシャク,"Heterolocha laminaria (Herrich-Schäffer, 1852)",not_in_input
species-3857,ウラベニエダシャク,"Heterolocha aristonaria (Walker, 1860)",not_in_input
