和名,学名,成虫時期,生態の備考
チビクロアツバ,"Chibidokuga hypenodes Inoue, 1979",6月～8月,寄主植物: 地衣類
ヒロバチビトガリアツバ,"Hypenomorpha calamina (Butler, 1879)",8月,寄主植物: ナラガシワ (ブナ科)
チビトガリアツバ,"Hypenomorpha falcipennis (Inoue, 1958)",7月,"""未知。""。寄主植物: 未知"
マエフタモンアツバ,"Prolophota trigonifera (Hampson, 1896)",3月～11月,"""未知。""。寄主植物: 未知"
ウラモンチビアツバ,"Micreremites pyraloides (Sugi, 1982)",5月～7月,"""未知。""。寄主植物: 未知"
ウスクモチビアツバ,"Micreremites japonica (Sugi, 1982)",7・8月,"""未知。""。寄主植物: 未知"
コウスクモチビアツバ,"Micreremites azumai (Sugi, 1982)",8月,"""未知。""。寄主植物: 未知"
クロテンカバアツバ,"Anachrostis nigripunctalis (Wileman, 1911)",6月～10月,寄主植物: ズミ (バラ科)
ホソバカバアツバ,"Anachrostis minutissima (Sugi, 1982)",5・10月,"""未知。""。寄主植物: 未知"
アマミカバアツバ,"Anachrostis amamiana (Sugi, 1982)",4・8月,"""未知。""。寄主植物: 未知"
フタテンチビアツバ,"Neachrostia bipuncta (Sugi, 1982)",3・11月,"""未知。""。寄主植物: 未知"
キイロチビアツバ,"Neachrostia purpureoflava (Sugi, 1982)",3・10月,"""未知。""。寄主植物: 未知"
フタキボシアツバ,"Naarda maculifera (Staudinger, 1892)",6月～7月・8月～9月,"""年2化。""。寄主植物: コケ植物"
ミナミフタキボシアツバ,"Naarda punctirena (Sugi, 1982)",11月,"""未知。""。寄主植物: 未知"
エダヒゲキボシアツバ,"Naarda pectinata Sugi, 1982",3・11月,"""未知。""。寄主植物: 未知"
クロスジヒメアツバ,"Schrankia costaestrigalis (Stephens, 1834)",4月～10月,"""イブキジャコウソウ。""。寄主植物: ハッカ (以上シソ科)"
アマミヒメアツバ,"Schrankia seinoi Inoue, 1979",7月～8月,"""未知。""。寄主植物: 未知"
ハスオビヒメアツバ,"Schrankia separatalis (Herz, 1905)",4月～5月・7月～9月,"""年2化。""。寄主植物: 未知"
ウスオビヒメアツバ,"Schrankia masuii Inoue, 1979",6月～7月,"""未知。""。寄主植物: 未知"
マルモンヒメアツバ,"Schrankia kogii Inoue, 1979",6月～9月,"""未知。""。寄主植物: 未知"
メスグロヒメアツバ,"Schrankia dimorpha Inoue, 1979",4月～7月,"""未知。""。寄主植物: 未知"
ハスジミジンアツバ,"Hypenodes turfosalis (Wocke, 1850)",8月,"""未知。""。寄主植物: 未知"
ミジンアツバ,"Hypenodes rectifascia Sugi, 1982",5月～9月,"""未知。""。寄主植物: 未知"
マガリミジンアツバ,"Hypenodes curvilinea Sugi, 1982",7月,"""未知。""。寄主植物: 未知"
ウスマダラチビアツバ,"Protoschrankia murakii Sugi, 1979",7月,"""未知。""。寄主植物: 未知"
キマダラチビアツバ,"Protoschrankia ijimai Sugi, 1979",7月～8月,"""未知。""。寄主植物: 未知"
ミナミチビアツバ,"Luceria oculalis (Moore, 1877)",8月～11月,"""未知。""。寄主植物: 未知"
チビアツバ,"Luceria fletcheri Inoue, 1958",8月,"""未知。""。寄主植物: 未知"
アヤホソコヤガ,"Araeopteron amoenum Inoue, 1958",5月～9月,"""未知。""。寄主植物: 未知"
シロホソコヤガ,"Araeopteron flaccidum Inoue, 1958",5月・7月,"""未知。""。寄主植物: 未知"
クロモンホソコヤガ,"Araeopteron kurokoi Inoue, 1958",5月～7月・9月～10月,"""未知。""。寄主植物: 未知"
マダラホソコヤガ,"Araeopteron fragmentum Inoue, 1965",6月～9月,"""未知。""。寄主植物: 未知"
ウスグロホソコヤガ,"Araeopteron nebulosum Inoue, 1965",5月～6月,"""未知。""。寄主植物: 未知"
キスジコヤガ,"Enispa lutefascialis (Leech, 1889)",5月～8月,"""未知。""。寄主植物: 未知"
シラホシコヤガ,"Enispa bimaculata (Staudinger, 1892)",5月～7月,"""年1化。幼虫越冬。""。寄主植物: 地衣類"
サザナミコヤガ,"Enispa masuii Sugi, 1982",6月～9月,"""未知。""。寄主植物: 未知"
ミジンベニコヤガ,"Ectoblemma rosella Sugi, 1982",6月,"""未知。""。寄主植物: 未知"
ソトオビヒメコヤガ,"Acidaliodes perstriata (Hampson, 1907)",6月,"""未知。""。寄主植物: 未知"
ハイイロコヤガ,"Mataeomera yoshimotoi Sohn & Eda, 2013",7月～9月,寄主植物: 地衣類
ミナミハイイロコヤガ,"Mataeomera biangulata (Wileman, 1915)",3・5・11月,"""未知。""。寄主植物: 未知"
クロハナコヤガ,"Aventiola pusilla (Butler, 1879)",7月,"""年1化。""。寄主植物: 地衣類"
イガコヤガ,"Manoblemma cryptica Yoshimoto, 1999",6月,"""未知。""。寄主植物: 未知"
シマフコヤガ,"Corgatha nitens (Butler, 1879)",6月～9月,"""ミズキ (ミズキ科)。""。寄主植物: ミツバウツギ、ゴンズイ (以上ミツバウツギ科)、キブシ (キブシ科)"
カバイロシマコヤガ,"Corgatha argillacea (Butler, 1879)",7月～9月,寄主植物: 地衣類
モモイロシマコヤガ,"Corgatha costimacula (Staudinger, 1892)",8月～9月,寄主植物: 地衣類
シロスジシマコヤガ,"Corgatha dictaria (Walker, 1861)",6月,"""年1化。""。寄主植物: 地衣類"
ハイイロシマコヤガ,"Corgatha fusca Tanaka, 1973",5月～10月,寄主植物: 地衣類
ヒメシロスジシマコヤガ,"Corgatha zonalis Walker, [1859]",5・10月,寄主植物: 地衣類
フタスジシマコヤガ,"Corgatha marumoi Sugi, 1982",6月～8月,"""未知。""。寄主植物: 未知"
ベニシマコヤガ,"Corgatha pygmaea Wileman, 1911",7月,寄主植物: 地衣類
ツマベニシマコヤガ,"Corgatha obsoleta Marumo, 1932",7月,"""未知。""。寄主植物: 未知"
マエグロシマコヤガ,"Corgatha semiobsoleta Yoshimoto, 1999",3・7月,"""未知。""。寄主植物: 未知"
ヨツテンシマコヤガ,"Corgatha fusciceps Sugi, 1982",8月,"""未知。""。寄主植物: 未知"
ゴマモンシマコヤガ,"Corgatha sasakii Kishida, 2010",6月～10月,"""未知。""。寄主植物: 未知"
ミイロコヤガ,"Shiraia tripartita (Leech, 1900)",5月～9月,"""年2化。""。寄主植物: 未知"
シロエグリコヤガ,"Holocryptis ussuriensis (Rebel, 1901)",7月～9月,"""未知。""。寄主植物: 未知"
ベニエグリコヤガ,"Holocryptis nymphula (Rebel, 1909)",5月～7月,"""未知。""。寄主植物: 未知"
ウスベニエグリコヤガ,"Holocryptis erubescens (Hampson, 1893)",5・6月,"""未知。""。寄主植物: 未知"
ナカオビエグリコヤガ,"Holocryptis bisectalis (Walker, 1859)",5月,"""未知。""。寄主植物: 未知"
ウラモンエグリコヤガ,"Decticryptis deleta (Moore, 1885)",4・7月,"""未知。""。寄主植物: 未知"
ツマトビコヤガ,"Autoba tristalis (Leech, [1889])",5月～9月,"""未知。""。寄主植物: 未知"
ベニミスジコヤガ,"Autoba trilinea (Joannis, 1909)",8月～9月,"""年1化。""。寄主植物: アキニレ (ニレ科)"
ベニチラシコヤガ,"Eublemma amasina (Eversmann, 1842)",4月～6月・8月～9月,"""年2化。""。寄主植物: ナンアザミ (キク科)"
シラホシベニコヤガ,"Eublemma cochylioides (Guenée, 1852)",3月～11月,"""アキノノゲシ。""。寄主植物: ノゲシ (以上キク科)"
ナカオビシロコヤガ,"Eublemma rivula (Moore, 1882)",7月,"""未知。""。寄主植物: 未知"
セブトコヤガ,"Eublemma quadrapex (Hampson, 1891)",3月～6月,"""未知。""。寄主植物: 未知"
ソトベニコヤガ,"Eublemma anachoresis (Wallengren, 1863)",9月,"""未知。""。寄主植物: 未知"
ハイマダラコヤガ,"Metachrostis miasma (Hampson, 1891)",6月～8月,"""未知。""。寄主植物: 未知"
ベニスジコヤガ,"Eublemma dimidialis (Fabricius, 1794)",5月～10月,"""年3化。""。寄主植物: アズキ、ササゲ (以上マメ科)"
ヨスジコヤガ,"Eublemma baccalix (Swinhoe, 1886)",8月,"""未知。""。寄主植物: 未知"
ツマテンコヤガ,"Honeyania ragusana (Freyer, 1844)",7月～9月,"""未知。""。寄主植物: 未知"
ヤマトコヤガ,"Arasada ornata (Wileman, 1911)",6月～9月,寄主植物: クスギ (ブナ科)
チャイロコヤガ,"Carmara subcervina Walker, [1863]",3・7月～11月,"""未知。""。寄主植物: 未知"
モモイロツマキリコヤガ,"Eugnathia pulcherrima (Butler, 1879)",5月～9月,"""サルトリイバラ。""。寄主植物: シオデ (以上シオデ科)"
ウスキツマキリコヤガ,"Eugnathia lunifera (Moore, 1885)",3月～10月,寄主植物: ハマサルトリイバラ (ユリ科)
ウスアカクルマコヤガ,"Zurobata vacillans (Walker, 1864)",4月～5月,"""未知。""。寄主植物: 未知"
ヒメクルマコヤガ,"Ataboruza divisa (Walker, 1862)",7月～10月,寄主植物: イネに寄生するイネコウジ
マダラクルマコヤガ,"Ataboruza stragulata (Pagenstecher, 1900)",9月,"""未知。""。寄主植物: 未知"
ヨシノツマキリコヤガ,Oruza yoshinoensis,4月～8月,"""未知。""。寄主植物: 未知"
モンシロクルマコヤガ,"Oruza glaucotorna Hampson, 1910",5月～10月,寄主植物: ヒサカキ (サカキ科)
アトキスジクルマコヤガ,"Oruza mira (Butler, 1879)",5月～6月・8月,"""年2化。""。寄主植物: ヌルデ (ウルシ科)"
アトテンクルマコヤガ,"Oruza submira Sugi, 1982",5月～6月・7月～9月,"""年2化。""。寄主植物: 未知"
リュウキュウクルマコヤガ,"Oruza obliquaria Marumo, 1932",5月～9月,"""未知。""。寄主植物: 未知"
ウスキコヤガ,"Oruza brunnea (Leech, 1900)",5月～8月,"""未知。""。寄主植物: 未知"
シロオビクルマコヤガ,"Trisateles emortualis (Denis & Schiffermüller, 1775)",5月～8月,寄主植物: カシワ (ブナ科)
マエウスガリコヤガ,Hyposada hirashimai,3・6・10月,"""未知。""。寄主植物: 未知"
ヒメトガリコヤガ,"Eugraptoblemma utsugii Kishida, 2010",8月,"""未知。""。寄主植物: 未知"
ソトキボシコヤガ,"Niaccaba sumptualis Walker, 1866",3・10月,"""未知。""。寄主植物: 未知"
ヒメゴマフコヤガ,"Metaemene atrigutta (Walker, 1862)",7月,"""未知。""。寄主植物: 未知"
シロフタオビコヤガ,"Eulocastra excisa (Swinhoe, 1885)",6・7・9月,"""未知。""。寄主植物: 未知"
シロコヤガ,"Eulocastra shibaharai Kishida, 2010",7月,"""未知。""。寄主植物: 未知"
マエキトガリアツバ,"Anoratha costalis Moore, 1867",3月～10月,"""未知。""。寄主植物: 未知"
テングアツバ,"Latirostrum bisacutum Hampson, 1895",4月～6月・8月～9月,"""年2化。""。寄主植物: ナンアザミ (キク科)"
トガリアツバ,"Rhynchina cramboides (Butler, 1879)",5月～9月,寄主植物: マルバハギ (マメ科)
ナカジロアツバ,"Harita belinda (Butler, 1879)",8月～9月,寄主植物: コマツナギ (マメ科)
モンクロキシタアツバ,"Hypena sagitta (Fabricius, 1775)",3月～10月,寄主植物: フルモウリンカ (キョウチクトウ科)
キシタアツバ,"Hypena claripennis (Butler, 1878)",4月～9月,寄主植物: ヤブマオ (イラクサ科)
クロキシタアツバ,"Hypena amica (Butler, 1878)",5月～9月,"""ヤママオ。""。寄主植物: カラムシ、アカソ、ラセイタソウ (以上イラクサ科)"
タイワンキシタアツバ,"Hypena trigonalis (Guenée, 1854)",5月～9月,"""ヤママオ。""。寄主植物: カラムシ、アカソ、ラミー、タイワントリアシ (以上イラクサ科)"
ソトムラサキアツバ,"Hypena ella Butler, 1878",5月～8月,"""未知。""。寄主植物: 未知"
フタオビアツバ,"Hypena proboscidalis (Linnaeus, 1758)",7月～8月,"""イラクサ (イラクサ科)。""。寄主植物: カラハナソウ (アサ科)"
チャバネフタオビアツバ,"Hypena sp. (sp. 1) of Kishida, 2011",8月,"""未知。""。寄主植物: 未知"
ヒトスジアツバ,"Hypena tatorhina Butler, 1879",6月～9月,"""未知。""。寄主植物: 未知"
ヨシノアツバ,"Hypena yoshinalis (Wileman & West, 1930)",8月,寄主植物: イラクサ (イラクサ科)
ナミテンアツバ,"Hypena strigata (Fabricius, 1775)",9・10月,寄主植物: ヌスビトハギ (マメ科)
フタコブスジアツバ,"Hypena sinuosa Wileman, 1911",6月～9月,"""イワガネ。""。寄主植物: ハドノキ (以上イラクサ科)"
オオトビモンアツバ,"Hypena occata Moore, 1882",6月～9月,寄主植物: カラムシ (イラクサ科)
ウスチャモンアツバ,"Hypena innocuoides Poole, 1989",6月～9月,"""未知。""。寄主植物: 未知"
ヒトスジクロアツバ,"Hypena furva Wileman, 1911",8月～10月,"""未知。""。寄主植物: 未知"
トビモンアツバ,"Hypena indicatalis Walker, 1859",6月～9月,寄主植物: カラムシ (イラクサ科)
コトビモンアツバ,"Hypena cognata Moore, 1885",3・10・11月,"""未知。""。寄主植物: 未知"
ランタナアツバ,"Hypena laceratalis Walker, [1859] 1858",不明,"""シチヘンゲ (クマツヅラ科)。""。寄主植物: ランタナ (クマツヅラ科)"
メスカバフアツバ,"Hypena sp. (sp. 2) of Kishida, 2011",3月～11月,"""未知。""。寄主植物: 未知"
セクロモンアツバ,"Hypena gonospilalis Walker, 1866",3・10月,"""未知。""。寄主植物: 未知"
サツマアツバ,"Hypena satsumalis Leech, 1889",5・8月,"""未知。""。寄主植物: 未知"
ナカウスオビアツバ,"Hypena sp. (sp. 3) of Kishida, 2011",4月～10月,"""未知。""。寄主植物: 未知"
アオアツバ,"Hypena subcyanea Butler, 1880",10月,"""未知。""。寄主植物: 未知"
スジアツバ,"Hypena masurialis Guenée, 1854",3月,"""シマツユクサ。""。寄主植物: マルバツユクサ (以上ツユクサ科)"
イチモジアツバ,"Hypena yoshimatsui Kishida, 2010",6月～11月,"""未知。""。寄主植物: 未知"
オスグロホソバアツバ,"Hypena lignealis (Walker, 1866)",11月,"""アオミズ。""。寄主植物: ミヤマミズ、シマミズ (以上イラクサ科)"
ホソバアツバ,"Hypena whitelyi (Butler, 1879)",8月下旬から,"""未知。""。寄主植物: 未知"
ミツボシアツバ,"Hypena tristalis (Lederer, 1853)",7月,"""年2化。""。寄主植物: ヤブマオ (イラクサ科)、ハルニレ (ニレ科)、ダイズ (マメ科)"
ムラサキミツボシアツバ,"Hypena narratalis (Walker, 1859)",年2化,"""未知。""。寄主植物: 未知"
コテングアツバ,"Hypena pulverulenta (Wileman, 1911)",7月,"""未知。""。寄主植物: 未知"
ハナトガリアツバ,"Hypena nakajimai (Kishida, 2010)",7月～9月,寄主植物: シマフヨウ (フヨウ科)
サザナミアツバ,"Hypena abducalis Walker, [1859] 1858",8月,寄主植物: ハギ類 (マメ科)
ソトウスナミガタアツバ,"Hypena kengkalis Bremer, 1864",7月,"""年2化。""。寄主植物: ハギ類 (マメ科)"
ナミガタアツバ,"Hypena similalis Leech, [1889]",7月,"""年2化。""。寄主植物: ハギ類 (マメ科)"
ウスベリアツバ,"Hypena conscitalis Walker, [1866] 1865",未知,寄主植物: ヌスビトハギ (マメ科)
グシチャンアツバ,"Hypena gushichan (Kishida, 2010)",5月～9月,寄主植物: キダチハマグルマ (キク科)
ケタデアツバ,"Hypena tominagai (Kishida, 2010)",7月,寄主植物: ケタデ (タデ科)
ナカシロテンアツバ,"Bomolocha albopunctalis (Leech, 1889)",7月～9月,寄主植物: イワガネ (イラクサ科)
ヤマガタアツバ,"Bomolocha stygiana (Butler, 1878)",5月～9月,"""ウツギ。""。寄主植物: マルバウツギ (以上アジサイ科)"
アマミヤマガタアツバ,"Bomolocha amamiensis (Sugi, 1982)",3月,"""未知。""。寄主植物: 未知"
ハングロアツバ,"Bomolocha squalida (Butler, 1879)",5月～8月,"""ミツバツツジ。""。寄主植物: ヤマツツジ、サツキ (以上ツツジ科)、ウメ (バラ科)"
ミヤマソトジロアツバ,"Bomolocha semialbata (Sugi, 1982)",5月～9月,"""未知。""。寄主植物: 未知"
エゾソトジロアツバ,"Bomolocha bipartita (Staudinger, 1892)",6月～8月,"""未知。""。寄主植物: 未知"
シラクモアツバ,"Bomolocha zilla (Butler, 1879)",5月～6月・7月～8月,"""年2化。""。寄主植物: 未知"
アイモンアツバ,"Bomolocha rivuligera (Butler, 1881)",5月～9月,寄主植物: アカソ (イラクサ科)
シモフリヤマガタアツバ,"Bomolocha benepartita (Sugi, 1982)",年2化,"""未知。""。寄主植物: 未知"
ウスヅマアツバ,"Bomolocha perspicua (Leech, 1900)",5月～9月,"""年2化。""。寄主植物: ヤブマオ (イラクサ科)"
マルモンウスヅマアツバ,"Bomolocha bicoloralis (Graeser, 1889)",6月～9月,"""年2化。""。寄主植物: ハルニレ、ケヤキ (以上ニレ科)"
ホシムラサキアツバ,"Bomolocha nigrobasalis Herz, 1904",5月～8月,"""年2化。""。寄主植物: レンゲツツジ、ミヤマキリシマ (以上ツツジ科)"
ムラクモアツバ,"Bomolocha melanica (Sugi, 1959)",6月～7月,"""未知。""。寄主植物: 未知"
マガリウスヅマアツバ,"Bomolocha mandarina (Leech, 1900)",7月～8月,"""未知。""。寄主植物: 未知"
ベニスジアツバ,"Phytometra amata (Butler, 1879)",6月～9月,"""未知。""。寄主植物: 未知"
リュウキュウダルマアツバ,"Daona mansueta Walker, 1864",5月～6月・8月～10月,寄主植物: カワラタケ (サルノコシカケ科) などの菌類
ダルマアツバ,"Daona bilinealis (Leech, 1900)",4・7月,"""未知。""。寄主植物: 未知"
チャイロアツバ,"Britha inambitiosa (Leech, 1900)",5月～6月・8月,"""年2化。""。寄主植物: オオバアサガラ (エゴノキ科)"
キンスジアツバ,"Colobochyla salicalis (Denis & Schiffermüller, 1775)",5月～6月・7月～8月,"""年2化。""。寄主植物: ヤナギ科"
カギアツバ,"Laspeyria flexula (Denis & Schiffermüller, 1775)",6月～8月,寄主植物: 地衣類
ウスベニコヤガ,"Sophta subrosea (Butler, 1881)",5月～9月,"""年2化。""。寄主植物: 未知"
テンモンシマコヤガ,"Sophta ruficeps (Walker, 1864)",5月～9月,"""年2化。""。寄主植物: 未知"
マエベニモンツマキリアツバ,"Aroana baliensis Hampson, 1918",3月～12月,"""未知。""。寄主植物: 未知"
カザリツマキリアツバ,"Tamba igniflua (Wileman & South, 1917)",5月～9月,"""年2化。""。寄主植物: アラカシ (ブナ科)"
トウカイツマキリアツバ,"Tamba roseopurpurea Sugi, 1982",6月～9月,寄主植物: アラカシ (ブナ科)
チョウセンツマキリアツバ,"Tamba corealis (Leech, 1889)",5月～6月・8月～9月,"""年2化。""。寄主植物: ツバキ (ツバキ科)、ヒサカキ、サカキ (以上サカキ科)、ミミズバイ (ハイノキ科)"
ウスベニツマキリアツバ,"Tamba gensanalis (Leech, 1889)",5月～8月,"""未知。""。寄主植物: 未知"
アマミツマキリアツバ,"Pangrapta edai Kishida, 2010",4月～5月・7月～8月,"""年2化。""。寄主植物: 未知"
ムラサキツマキリアツバ,"Pangrapta curtalis (Walker, [1866])",5月～8月,"""スイカズラ。""。寄主植物: キンギンボク (スイカズラ科)"
キモンツマキリアツバ,"Pangrapta flavomacula Staudinger, 1888",3月～8月,"""未知。""。寄主植物: 未知"
ツシマツマキリアツバ,"Pangrapta trilineata (Leech, 1900)",7月,"""未知。""。寄主植物: 未知"
マエホシツマキリアツバ,"Tipasa renalis (Moore, [1885])",5月～8月,"""未知。""。寄主植物: 未知"
キンツマキリアツバ,"Tipasa eubapta Hampson, 1926",5月,"""未知。""。寄主植物: 未知"
ソトハガタアツバ,"Olulis puncticinctalis Walker, 1863",3月～11月,"""未知。""。寄主植物: 未知"
ツマエビイロアツバ,"Olulis shigakii Sugi, 1982",6月～9月,"""未知。""。寄主植物: 未知"
ツマムラサキアツバ,"Olulis japonica Sugi, 1982",6月～9月,"""未知。""。寄主植物: 未知"
ウスモモイロアツバ,"Olulis ayumiae Sugi, 1982",6月～9月,"""年2化。""。寄主植物: 未知"
ソトウスベニアツバ,"Sarcopteron fasciatum (Wileman & South, 1917)",4月～5月・7月～9月,"""年2化。""。寄主植物: 未知"
ミスジチャイロアツバ,"Dunira diplogramma (Hampson, 1912)",3月～5月,"""未知。""。寄主植物: 未知"
チャバネクチバ,"Condate orsilla (Swinhoe, 1897)",1月,"""未知。""。寄主植物: 未知"
ヒメエグリアツバ,"Euwilemania angulata (Wileman, 1911)",5月～8月,"""未知。""。寄主植物: 未知"
フタスジエグリアツバ,"Gonepatica opalina (Butler, 1879)",6月～7月,寄主植物: クスギ (ブナ科)
クロシモフリアツバ,"Atuntsea kogii (Sugi, 1977)",6月～7月,"""未知。""。寄主植物: 未知"
ベニトガリアツバ,"Naganoella timandra (Alphéraky, 1897)",5月～9月,"""年2化。""。寄主植物: 未知"
キボシアツバ,"Paragabara flavomacula (Oberthür, 1880)",5月～8月,"""未知。""。寄主植物: 未知"
チャバネキボシアツバ,"Paragabara ochreipennis Sugi, 1962",4月～5月・7月,"""年2化。""。寄主植物: 未知"
ウスグロセニジモンアツバ,"Paragona inchoata (Wileman, 1911)",4月～10月,寄主植物: サクラ類 (バラ科)
セニジモンアツバ,"Paragona cleorides Wileman, 1911",8月,"""未知。""。寄主植物: 未知"
ヨコハマセニジモンアツバ,"Paragona multisignata (Christoph, 1888)",6月～9月,"""未知。""。寄主植物: 未知"
マンレイツマキリアツバ,"Polysciera manleyi (Leech, 1900)",6月～8月,"""トネリコ。""。寄主植物: ハシドイ (以上モクセイ科)"
ホソツマキリアツバ,"Stenograpta stenoptera Sugi, 1959",年2化,"""未知。""。寄主植物: 未知"
シロテンツマキリアツバ,"Amphitrogia amphidecta (Butler, 1879)",6月～9月,"""ミズキ (ミズキ科)。""。寄主植物: ミツバウツギ、ゴンズイ (以上ミツバウツギ科)、キブシ (キブシ科)"
オオエグリバ,"Calyptra gruesa (Draudt, 1950)",6月～7月・9月～10月,寄主植物: ツヅラフジ (ツヅラフジ科)
キマダラアツバ,"Lophomilia polybapta (Butler, 1879)",5月～8月,"""クスギ。""。寄主植物: クリ (以上ブナ科)"
ミカドアツバ,"Lophomilia flaviplaga (Warren, 1912)",5月・7月～8月,"""年2化。""。寄主植物: ミズナラ (ブナ科)"
ニセミカドアツバ,"Lophomilia takao Sugi, 1962",年2化以上,"""アラカシ。""。寄主植物: ウラジロガシ (以上ブナ科)"
キツマアツバ,Scedopla regalis,5月～6月,"""未知。""。寄主植物: 未知"
ウスマダラアツバ,"Scedopla diffusa Sugi, 1959",6月～8月,寄主植物: イボタノキ (モクセイ科)
アマミソトグロアツバ,"Scedopla inouei Sugi, 1982",3月～8月,"""未知。""。寄主植物: 未知"
トビフタスジアツバ,"Leiostola mollis (Butler, 1879)",4月～5月,"""エゴノキ。""。寄主植物: ハクウンボク (以上エゴノキ科)"
ウンモンツマキリアツバ,"Pangrapta perturbans (Walker, 1858)",4月～6月・7月～8月,"""年2化。""。寄主植物: 未知"
シロモンツマキリアツバ,"Pangrapta umbrosa (Leech, 1900)",6月～8月,寄主植物: ガマズミ (レンプクソウ科)
シロツマキリアツバ,"Pangrapta porphyrea (Butler, 1879)",6月～8月,"""未知。""。寄主植物: 未知"
ウゴウンモンツマキリアツバ,"Pangrapta suaveola Staudinger, 1888",7月,"""未知。""。寄主植物: 未知"
ミツボシツマキリアツバ,"Pangrapta vasava (Butler, 1881)",6月～7月,"""ハルニレ (ニレ科)。""。寄主植物: オヒョウ (ニレ科)"
ヨシノツマキリアツバ,"Pangrapta yoshinensis Wileman & West, 1929",6月～8月,"""リンゴ。""。寄主植物: ナシ、サクラ類、ズミ (以上バラ科)"
ナカグロツマキリアツバ,"Pangrapta disruptalis (Walker, [1866] 1865)",6月～7月,"""未知。""。寄主植物: 未知"
ツマジロツマキリアツバ,"Pangrapta lunulata Sterz, 1915",年2化,寄主植物: トネリコ (モクセイ科)
マエモンツマキリアツバ,"Pangrapta costinotata (Butler, 1881)",5月～8月,寄主植物: サクラ類 (バラ科)
リンゴツマキリアツバ,"Pangrapta obscurata (Butler, 1879)",5月～8月,"""リンゴ。""。寄主植物: ナシ、サクラ類、ズミ (以上バラ科)"
アサマツマキリアツバ,"Pangrapta minor Sugi, 1982",6月～7月,"""未知。""。寄主植物: 未知"
キマエアツバ,"Adrapsa ablualis Walker, 1859",多化性,寄主植物: 広葉樹の枯れ葉
ニセフジロアツバ,"Adrapsa subnotigera (Owada, 1982)",年2回,寄主植物: 広葉樹の枯れ葉
シラナミクロアツバ,"Adrapsa simplex (Butler, 1879)",1月～2月回,寄主植物: 広葉樹の枯れ葉
クロジャノメアツバ,"Bocana manifestalis (Walker, 1859)",多化性,"""灌木や草本の多食性。""。寄主植物: 枯れ葉"
マルシラホシアツバ,"Edessena gentiusalis (Walker, 1859)",5月～7月,"""未知。""。寄主植物: 未知"
オオシラホシアツバ,"Edessena hamada (Felder & Rogenhofer, 1874)",年1月～2月回,寄主植物: クスギ (ブナ科)
ハナマガリアツバ,"Hadennia incongruens (Butler, 1879)",多化性,"""未知。""。寄主植物: 未知"
ソトウスアツバ,"Hadennia obliqua (Wileman, 1911)",多化性,"""未知。""。寄主植物: 未知"
ヒメハナマガリアツバ,"Hadennia nakatanii (Owada, 1979)",年2回,"""未知。""。寄主植物: 未知"
シロテンハナマガリアツバ,"Hadennia mysalis (Walker, 1859)",多化性,"""未知。""。寄主植物: 未知"
フサキバアツバ,"Mosopia sordidum (Butler, 1879)",5月～9月,"""未知。""。寄主植物: 未知"
ハナオイアツバ,"Cidariplura gladiata (Butler, 1879)",年1化,"""未知。""。寄主植物: 未知"
キスジハナオイアツバ,"Cidariplura bilineata (Wileman & South, 1919)",鮮度の良い個体,寄主植物: 蘚類
カギモンハナオイアツバ,"Cidariplura signata (Butler, 1879)",年1化または2化,"""未知。""。寄主植物: 未知"
シロモンアツバ,"Paracolax albinotata (Butler, 1879)",年2月～3月回,寄主植物: 広葉樹類の枯れ葉
ウスキモンアツバ,"Paracolax sugii (Owada, 1992)",6月～8月,"""年2回。""。寄主植物: 未知"
ホソキモンアツバ,"Paracolax contigua (Leech, 1900)",6月～8月,"""年2回。""。寄主植物: 未知"
クルマアツバ,"Paracolax tristalis (Fabricius, 1794)",7月～8月,"""年1化。""。寄主植物: 広葉樹類の枯れ葉"
ミスジアツバ,"Paracolax trilinealis (Bremer, 1864)",7月～9月,"""未知。""。寄主植物: 未知"
ニセミスジアツバ,"Paracolax bilineata (Wileman, 1915)",2月～3月回,"""未知。""。寄主植物: 未知"
シロテンムラサキアツバ,"Paracolax pryeri (Butler, 1879)",多化性,"""アスナロ。""。寄主植物: スギ (以上ヒノキ科)"
オビアツバ,"Paracolax fascialis (Leech, 1889)",年2回,寄主植物: アスナロ (ヒノキ科)
ハグルマアツバ,"Paracolax angulata (Wileman, 1915)",6月～7月,"""未知。""。寄主植物: 未知"
クロキバアツバ,"Paracolax pacifica (Owada, 1982)",多化性,"""未知。""。寄主植物: 未知"
ホソナミアツバ,"Paracolax fentoni (Butler, 1879)",多化性,"""未知。""。寄主植物: 未知"
キモンクロアツバ,"Idia quadra (Graeser, 1889)",年1化,寄主植物: 広葉樹類の枯れ葉
シロホシクロアツバ,"Idia curvipalpis (Butler, 1879)",年1化,寄主植物: 広葉樹類の枯れ葉
ツマジロクロアツバ,"Idia fulvipicta (Butler, 1889)",3月～6月,"""未知。""。寄主植物: 未知"
ヒロオビウスグロアツバ,"Hydrillodes morosa (Butler, 1879)",多化性,寄主植物: 広葉樹類の枯れ葉
マルバネウスグロアツバ,"Hydrillodes pacifica Owada, 1982",周年,"""未知。""。寄主植物: 未知"
ハネブタアツバ,"Hydrillodes uenoi Owada, 1987",3月～4月,"""未知。""。寄主植物: 未知"
ソトウスグロアツバ,"Hydrillodes lentalis Guenée, 1854",周年,寄主植物: 広葉樹類の枯れ葉
