大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,備考,出典,成虫出現時期
H366,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Bruchidius,,terreus,,,,,ネムノキマメゾウムシ,,,,,,,Bruchidius terreus,不明,,ハムシ目録データベース,
H367,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Bruchidius,,urbanus,,,,,シリアカマメゾウムシ,,,,,,,Bruchidius urbanus,不明,,ハムシ目録データベース,
H368,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Callosobruchus,,analis,,,,,ワモンマメゾウムシ,,,,,,,Callosobruchus analis,不明,,ハムシ目録データベース,
H369,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Callosobruchus,,chinensis,,,,,アズキマメゾウムシ,,,,,,,Callosobruchus chinensis,アズキ、ヤブツルアズキ、ヒメクズ,,ハムシハンドブック,不明
H370,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Callosobruchus,,maculatus,,,,,ヨツモンマメゾウムシ,,,,,,,Callosobruchus maculatus,アズキ類などマメ類,,ハムシハンドブック,不明
H371,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Callosobruchus,,phaseoli,,,,,タテモンマメゾウムシ,,,,,,,Callosobruchus phaseoli,不明,,ハムシ目録データベース,
H372,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Megabruchidius,,dorsalis,,,,,サイカチマメゾウムシ,,,,,,,Megabruchidius dorsalis,サイカチの実,,ハムシハンドブック,不明
H373,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Megabruchidius,,sophorae,,,,,エンジュマメゾウムシ,,,,,,,Megabruchidius sophorae,エンジュ、マユミなどの花,,ハムシハンドブック,不明
H374,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Sennius,,lebasi,,,,,クロモンマメゾウムシ,,,,,,,Sennius lebasi,不明,,ハムシ目録データベース,
H375,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Sulcobruchus,,sauteri,,,,,ザウテルマメゾウムシ,,,,,,,Sulcobruchus sauteri,不明,,ハムシ目録データベース,
H376,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Bruchus,,loti,,,,,ミヤコグサマメゾウムシ,,,,,,,Bruchus loti,ミヤコグサ、ハマエンドウの実,,ハムシ目録データベース,不明
H377,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Bruchus,,pisorum,,,,,エンドウゾウムシ,,,,,,,Bruchus pisorum,エンドウ,,ハムシ目録データベース,年1回発生
H378,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Bruchus,,rufimanus,,,,,ソラマメゾウムシ,,,,,,,Bruchus rufimanus,ソラマメ,,ハムシ目録データベース,年1回発生
H379,Chrysomelidae,ハムシ科,Bruchinae,マメゾウムシ亜科,,,,,Kytorhinus,,senilis,,,,,シャープマメゾウムシ,,,,,,,Kytorhinus senilis,不明,,ハムシ目録データベース,
H380,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Cyphogaster),,,,,ガガブタネクイハムシ,,,,,,,Donacia (Cyphogaster),不明,,ハムシ目録データベース,
H381,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Cyphogaster),,,,,イネネクイハムシ,,,,,,,Donacia (Cyphogaster),ジュンサイ、コウホネ、ヒルムシロ、ヒツジグサ、ヒシなど、イネの根,,ハムシ目録データベース,5~11月
H382,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donacia),,,,,セラネクイハムシ,,,,,,,Donacia (Donacia),不明,,ハムシ目録データベース,
H383,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donacia),,,,,コウホネネクイハムシ,,,,,,,Donacia (Donacia),不明,,ハムシ目録データベース,
H384,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,キアシネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H385,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,フトネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H386,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,クロガネネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H387,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,アオノネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H388,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,アカガネネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H389,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,キンイロネクイハムシ,,,,,,,Donacia (Donaciomima),ミクリ類、スゲ類の花,,ハムシハンドブック,4~10月
H390,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,カツラネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H391,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,ツヤネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H392,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,アシボソネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H393,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,キタヒラタネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H394,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,キタヒラタネクイハムシ 本州亜種,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H395,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,ニセヒラタネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H396,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Donacia,,(Donaciomima),,,,,ホソネクイハムシ,,,,,,,Donacia (Donaciomima),不明,,ハムシ目録データベース,
H397,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Macroplea,,japana,,,,,キイロネクイハムシ,,,,,,,Macroplea japana,不明,,ハムシ目録データベース,
H398,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Macroplea,,mutica,,,,,キタキイロネクイハムシ,,,,,,,Macroplea mutica,不明,,ハムシ目録データベース,
H399,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Plateumaris,,akiensis,,,,,アキミズクサハムシ,,,,,,,Plateumaris akiensis,不明,,ハムシ目録データベース,
H400,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Plateumaris,,constricticollis,,,,,オオネクイハムシ,,,,,,,Plateumaris constricticollis,不明,,ハムシ目録データベース,
H401,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Plateumaris,,constricticollis,,,,,オオネクイハムシ　信濃亜種,,,,,,,Plateumaris constricticollis,不明,,ハムシ目録データベース,
H402,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Plateumaris,,constricticollis,,,,,オオネクイハムシ　亜種,,,,,,,Plateumaris constricticollis,不明,,ハムシ目録データベース,
H403,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Plateumaris,,sericea,,,,,キヌツヤミズクサハムシ,,,,,,,Plateumaris sericea,スゲ類、ハリイ類、各種の花,,ハムシ目録データベース,4~9月
H404,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Plateumaris,,shirahatai,,,,,シラハタネクイハムシ,,,,,,,Plateumaris shirahatai,不明,,ハムシ目録データベース,
H405,Chrysomelidae,ハムシ科,Donaciinae,ネクイハムシ亜科,,,,,Plateumaris,,weisei,,,,,ヒラシマミズクサハムシ,,,,,,,Plateumaris weisei,不明,,ハムシ目録データベース,
H406,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Crioceris,,orientalis,orientalis,Jacoby,1885,カタボシクビナガハムシ,,,,,,,Crioceris orientalis orientalis Jacoby, 1885,不明,,ハムシ目録データベース,
H407,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Crioceris,,quatuordecimpunctata,,(Scopoli),1763,ジュウシホシクビナガハムシ,,,,,,,Crioceris quatuordecimpunctata (Scopoli, 1763),不明,,ハムシ目録データベース,
H408,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lilioceris,(Bradyceris),lewisi,,(Jacoby),1885,ルイスクビナガハムシ,,,,,,,Lilioceris (Bradyceris) lewisi (Jacoby, 1885),マイヅルソウ、ナルコユリ,,ハムシハンドブック,
H409,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lilioceris,(Lilioceris),balyi,,Chûjô,1961,ベーリークビナガハムシ,,,,,,,Lilioceris (Lilioceris) balyi Chûjô, 1961,不明,,ハムシ目録データベース,
H410,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lilioceris,(Lilioceris),formosana,,Heinze,1943,オキナワクビナガハムシ,,,,,,,Lilioceris (Lilioceris) formosana Heinze, 1943,不明,,ハムシ目録データベース,
H411,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lilioceris,(Lilioceris),merdigera,,(Linnaeus),1758,ユリクビナガハムシ,,,,,,," ""Lilioceris (Lilioceris) merdigera (Linnaeus"," 1758)""",不明,,ハムシ目録データベース,
H412,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lilioceris,(Lilioceris),parvicollis,,(Baly),1873,ホソクビナガハムシ,,,,,,,Lilioceris (Lilioceris) parvicollis (Baly, 1873),不明,,ハムシ目録データベース,
H413,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lilioceris,(Lilioceris),rugata,,(Baly),1865,キイロクビナガハムシ,,,,,,,Lilioceris (Lilioceris) rugata (Baly, 1865),ヤマノイモ、オニドコロなど,,ハムシハンドブック,
H414,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lilioceris,(Lilioceris),scapularis,,(Baly),1859,カタモンクビナガハムシ,,,,,,,Lilioceris (Lilioceris) scapularis (Baly, 1859),不明,,ハムシ目録データベース,
H415,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lilioceris,(Lilioceris),sieversi,,(Heyden),1887,クロバネクビボソハムシ,,,,,,,Lilioceris (Lilioceris) sieversi (Heyden, 1887),不明,,ハムシ目録データベース,
H416,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lilioceris,(Lilioceris),subpolita,,(Motschulsky),1861,アカクビナガハムシ,,,,,,,Lilioceris (Lilioceris) subpolita (Motschulsky, 1861),サルトリイバラ、シオデ,,ハムシハンドブック,
H417,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,(Lema),cyanella,,(Linnaeus),1758,ルリクビボソハムシ,,,,,,," ""Lema (Lema) cyanella (Linnaeus"," 1758)""",不明,,ハムシ目録データベース,
H418,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,(Lema),concinnipennis,,Baly,1865,キバラルリクビボソハムシ,,,,,,,"Lema (Lema) concinnipennis Baly, 1865",ツユクサ,,ハムシハンドブック,,
H419,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,ヒメアカクビボソハムシ,,,,,,,Lema (Lema),不明,,ハムシ目録データベース,
H420,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,トゲアシクビボソハムシ,,,,,,,Lema (Lema),ツユクサ,,ハムシハンドブック,4~11月
H421,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,ササキクビボソハムシ,,,,,,,Lema (Lema),不明,,ハムシ目録データベース,
H422,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,トホシクビボソハムシ,,,,,,,Lema (Lema),クコ,,ハムシ目録データベース,3~11月
H423,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,キオビクビボソハムシ,,,,,,,Lema (Lema),不明,,ハムシ目録データベース,
H424,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,スゲクビボソハムシ,,,,,,,Lema (Lema),不明,,ハムシ目録データベース,
H425,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,アカクビボソハムシ,,,,,,,Lema (Lema),ツユクサ,,ハムシ目録データベース,4~11月
H426,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,クズクビボソハムシ,,,,,,,Lema (Lema),不明,,ハムシ目録データベース,
H427,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,ネッタイアカクビボソハムシ,,,,,,,Lema (Lema),不明,,ハムシ目録データベース,
H428,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Lema),,,,,セアカクビボソハムシ,,,,,,,Lema (Lema),不明,,ハムシ目録データベース,
H429,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Petauristes),,,,,キベリクビボソハムシ,,,,,,,Lema (Petauristes),ヤマノイモ,,ハムシハンドブック,4~9月
H430,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Petauristes),,,,,ヤマイモハムシ,,,,,,,Lema (Petauristes),ヤマノイモ,,ハムシ目録データベース,4~10月
H431,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Petauristes),,,,,オオクビボソハムシ,,,,,,,Lema (Petauristes),コウトウシラン,,ハムシハンドブック,4月、10月(周年発生の可能性あり)
H432,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Lema,,(Petauristes),,,,,ナスクビボソハムシ,,,,,,,Lema (Petauristes),不明,,ハムシ目録データベース,
H433,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Oulema,,(Oulema),,,,,セスジクビボソハムシ,,,,,,,Oulema (Oulema),不明,,ハムシ目録データベース,
H434,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Oulema,,(Oulema),,,,,アワクビボソハムシ,,,,,,,Oulema (Oulema),アワ、エノコログサ,,ハムシハンドブック,4~11月
H435,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Oulema,,(Oulema),,,,,ムギクビボソハムシ,,,,,,,Oulema (Oulema),不明,,ハムシ目録データベース,
H436,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Oulema,,(Oulema),,,,,クビアカクビボソハムシ,,,,,,,Oulema (Oulema),不明,,ハムシ目録データベース,
H437,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Oulema,,(Oulema),,,,,イネクビボソハムシ,,,,,,,Oulema (Oulema),イネ、カモガヤ、マコモなど,,ハムシハンドブック,4~9月
H438,Chrysomelidae,ハムシ科,クビボソハムシ亜科,クビボソハムシ亜科,,,,,Oulema,,(Oulema),,,,,キアシクビボソハムシ,,,,,,,Oulema (Oulema),不明,,ハムシ目録データベース,
H439,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Aspidimorpha,,(Aspidimorpha),,,,,ジンガサハムシ,,,,,,,Aspidimorpha (Aspidimorpha),ヒルガオ類,,ハムシハンドブック,4~9月
H440,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Aspidimorpha,,(Aspidimorpha),,,,,ゴマダラジンガサハムシ,,,,,,,Aspidimorpha (Aspidimorpha),不明,,ハムシ目録データベース,
H441,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Aspidimorpha,,(Aspidimorpha),,,,,スキバジンガサハムシ,,,,,,,Aspidimorpha (Aspidimorpha),ヒルガオ類,,ハムシ目録データベース,4~11月
H442,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Laccoptera,,(Laccopteroidea),,,,,ヨツモンカメノコハムシ,,,,,,,Laccoptera (Laccopteroidea),サツマイモ、ノアサガオ,,ハムシ目録データベース,4~12月
H443,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,circumdata,,,,,タテスジヒメジンガサハムシ,,,,,,,Cassida circumdata,サツマイモ、ハマヒルガオなど,,ハムシ目録データベース,3~8月
H444,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,concha,,,,,キイロカメノコハムシ,,,,,,,Cassida concha,不明,,ハムシ目録データベース,
H445,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,crucifera,,,,,セモンジンガサハムシ,,,,,,,Cassida crucifera,サクラ、リンゴ、ナシなど,,ハムシハンドブック,4~10月
H446,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,erudita,,,,,ミドリカメノコハムシ,,,,,,,Cassida erudita,アキチョウジ、ヒメシロネ、カメバヒキオコシ、ウツボグサ,,ハムシハンドブック,5~7月
H447,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,ferruginea,,,,,イカリアオカメノコハムシ,,,,,,,Cassida ferruginea,不明,,ハムシ目録データベース,
H448,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,fuscorufa,,,,,ヒメジンガサハムシ,,,,,,,Cassida fuscorufa,ヨモギ,,ハムシハンドブック,4~11月
H449,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,japana,,,,,イノコズチカメノコハムシ,,,,,,,Cassida japana,イノコヅチ,,ハムシ目録データベース,4~10月
H450,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,lineola,,,,,クロスジカメノコハムシ,,,,,,,Cassida lineola,不明,,ハムシ目録データベース,
H451,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,mongolica,,,,,クロカメノコハムシ,,,,,,,Cassida mongolica,不明,,ハムシ目録データベース,
H452,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,murraea,,,,,ベニカメノコハムシ,,,,,,,Cassida murraea,ヤブタバコ、サジガンクビソウ、ミズギク,,ハムシ目録データベース,6~8月
H453,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,nebulosa,,,,,ナミカメノコハムシ,,,,,,,Cassida nebulosa,不明,,ハムシ目録データベース,
H454,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,nobilis,,,,,スジキイロカメノコハムシ,,,,,,,Cassida nobilis,不明,,ハムシ目録データベース,
H455,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,obtusata,,,,,ミカンカメノコハムシ,,,,,,,Cassida obtusata,柑橘類、イヌビユ、ケイトウなどヒユ科植物,,ハムシ目録データベース,3~10月
H456,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,piperata,,,,,ヒメカメノコハムシ,,,,,,,Cassida piperata,アカザ、シロザ、イヌビユなど,,ハムシハンドブック,4~10月
H457,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,rubiginosa,,,,,アオカメノコハムシ,,,,,,,Cassida rubiginosa,アザミ類,,ハムシハンドブック,4~9月
H458,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,rubiginosa,,,,,アオカメノコハムシ　対馬亜種,,,,,,,Cassida rubiginosa,アザミ類,,ハムシ目録データベース,4~9月
H459,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,sigillata,,,,,イカリヒメジンガサハムシ,,,,,,,Cassida sigillata,不明,,ハムシ目録データベース,
H460,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,velaris,,,,,チャイロカメノコハムシ,,,,,,,Cassida velaris,不明,,ハムシ目録データベース,
H461,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,vespertina,,,,,コガタカメノコハムシ,,,,,,,Cassida vespertina,ボタンヅル,,ハムシ目録データベース,4~10月
H462,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,vibex,,,,,セスジカメノコハムシ,,,,,,,Cassida vibex,不明,,ハムシ目録データベース,
H463,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Cassida,,vittata,,,,,スジミドリカメノコハムシ,,,,,,,Cassida vittata,不明,,ハムシ目録データベース,
H464,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Glyphocassis,,spilota,,,,,クロマダラカメノコハムシ,,,,,,,Glyphocassis spilota,不明,,ハムシ目録データベース,
H465,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Thlaspida,,cribrosa,,,,,イチモンジカメノコハムシ,,,,,,,Thlaspida cribrosa,ムラサキシキブ、ヤブムラサキ,,ハムシハンドブック,4~10月
H466,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Thlaspida,,lewisii,,,,,ルイスジンガサハムシ,,,,,,,Thlaspida lewisii,不明,,ハムシ目録データベース,
H467,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Brontispa,,longissima,,,,,ナガヒラタハムシ,,,,,,,Brontispa longissima,ココヤシなどヤシ類,,ハムシ目録データベース,4~6月(おそらく周年)
H468,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Agonita,,omoro,,,,,オキナワホソヒラタハムシ,,,,,,,Agonita omoro,不明,,ハムシ目録データベース,
H469,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Asamangulia,,yonakuni,,,,,ヨナグニトゲハムシ,,,,,,,Asamangulia yonakuni,不明,,ハムシ目録データベース,
H470,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Dactylispa,,(Platypriella),,,,,タケトゲハムシ,,,,,,,Dactylispa (Platypriella),不明,,ハムシ目録データベース,
H471,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Dactylispa,,(Platypriella),,,,,カタビロトゲハムシ,,,,,,,Dactylispa (Platypriella),カシワ、クヌギ、アラカシなど,,ハムシハンドブック,4~10月
H472,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Dactylispa,,(Triplispa),,,,,ヒメキベリトゲハムシ,,,,,,,Dactylispa (Triplispa),サクラ、コナラ、ヤマハッカなど,,ハムシ目録データベース,4~11月
H473,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Dactylispa,,(Triplispa),,,,,ヒゴトゲハムシ,,,,,,,Dactylispa (Triplispa),ムラサキシキブ,,ハムシハンドブック,6月
H474,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Dicladispa,,armigera,,,,,イネトゲハムシ,,,,,,,Dicladispa armigera,不明,,ハムシ目録データベース,
H475,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Hispellinus,,moerens,,,,,クロトゲハムシ,,,,,,,Hispellinus moerens,不明,,ハムシ目録データベース,
H476,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Platypria,,(Platypria),,,,,ヘリビロトゲハムシ,,,,,,,Platypria (Platypria),不明,,ハムシ目録データベース,
H477,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Platypria,,(Platypria),,,,,ツシマヘリビロトゲハムシ,,,,,,,Platypria (Platypria),ケンポナシ,,ハムシ目録データベース,5~10月
H478,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Rhadinosa,,nigrocyanea,,,,,クロルリトゲハムシ,,,,,,,Rhadinosa nigrocyanea,ススキ,,ハムシ目録データベース,5~11月
H479,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Leptispa,,miyamotoi,,,,,ミヤモトホソヒラタハムシ,,,,,,,Leptispa miyamotoi,不明,,ハムシ目録データベース,不明
H480,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Leptispa,,taguchii,,,,,タグチホソヒラタハムシ,,,,,,,Leptispa taguchii,不明,,ハムシ目録データベース,不明
H481,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Notosacantha,,ihai,,,,,アカヒラタカメノコハムシ,,,,,,,Notosacantha ihai,不明,,ハムシ目録データベース,
H482,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Notosacantha,,loochooana,,,,,チャイロヒラタカメノコハムシ,,,,,,,Notosacantha loochooana,不明,,ハムシ目録データベース,
H483,Chrysomelidae,ハムシ科,Cassidinae,カメノコハムシ亜科,,,,,Notosacantha,,nishiyamai,,,,,キイロヒラタカメノコハムシ,,,,,,,Notosacantha nishiyamai,不明,,ハムシ目録データベース,
H484,Chrysomelidae,ハムシ科,Eumolpinae,サルハムシ亜科,,,,,Acrothinium,,gaschkevitchii,,,,,アカガネサルハムシ,,,,,,,Acrothinium gaschkevitchii,ノブドウ、エビツル、ブドウなど,,ハムシハンドブック,4~7月
H485,Chrysomelidae,ハムシ科,Eumolpinae,サルハムシ亜科,,,,,Acrothinium,,gaschkevitchii,,,,,アカガネサルハムシ　沖永良部島亜種,,,,,,,Acrothinium gaschkevitchii,ノブドウ、エビツル、ブドウなど,,ハムシ目録データベース,4~7月
H486,Chrysomelidae,ハムシ科,Eumolpinae,サルハムシ亜科,,,,,Acrothinium,,gaschkevitchii,,,,,アカガネサルハムシ　沖縄亜種,,,,,,,Acrothinium gaschkevitchii,ノブドウ、エビツル、ブドウなど,,ハムシ目録データベース,4~7月
