和名,学名,成虫発生時期,備考
オオモクメシャチホコ,"Cerura erminea (Esper, 1783)",5月から (本州以南)、6~7月 (北海道),本州以南では年2化、北海道では年1化。
オオヤママイマイ,"Lymantria lucescens (Butler, 1881)",8~9月,年1化。
オガサワラヒゲブトクロアツバ,"Nodaria ogasawarensis Owada, 1987",不明,多化性。
オキナワアシブトクチバ,"Bastilla arcuata (Moore, 1877)",4~10月,
オビマダラアツバ,"Raparna roseata (Wileman & South, 1917)",5月と8~9月,
カサイヌマアツバ,"Hypertrocon perfractalis (Bryk, 1948)",6~8月,
カシワアツバ,"Pechipogo strigilata (Linnaeus, 1758)",6~7月と8月,年2回発生。
カシワマイマイ,"Lymantria mathura (Moore, 1865)",6月 (沖縄)、7~9月 (北海道、本州),年1化発生し、卵で越冬する。
カバイロモクメシャチホコ,"Hupodonta corticalis (Butler, 1877)",6月下旬~8月,年1化。卵越冬。
カンシキドクガ,"Artaxa kanshireia (Wileman, 1911)",8月,台湾での記録。
キアシドクガ,"Ivela auripes (Butler, 1877)",6月,年1化。卵越冬。
キイロアツバ,"Treitschkendia helva (Butler, 1879)",7~8月,年1化。平地では年2化、5~9月に見られ。
キエグリシャチホコ,"Himeropteryx miraculosa (Staudinger, 1887)",9月下旬から11月,年1化、秋に出現。卵越冬。
キオビアシブトクチバ,"Bastilla fulvotaenia (Guenée, 1852)",3~12月,
キクビムモンアツバ,"Rivula unctalis (Staudinger, 1892)",7月,年1化。
キシャチホコ,"Cutuza straminea (Moore, 1877)",5~6月と7~8月,年2化。卵越冬。
キタミスジアツバ,"Herminia stramentacealis Bremer, 1864",5月と7月,年2化。
キドクガ,"Kidokuga piperita (Oberthür, 1880)",6~8月,年1化。
キバネヘリグロクチバ,"Ophiusa trapezium (Guenée, 1852)",3~5月、12月,
キマエアツバ,"Adrapsa ablualis Walker, 1859",3~11月,多化性。
キマエコノハ,"Eudocima salaminia (Cramer, 1777)",6~11月,
キモンクチバ,"Ophisma gravata Guenée, 1852",3~11月,
ギンシャチホコ,"Harpyia umbrosa (Staudinger, 1892)",5月から,年2化。
ギンバネキノカワガ,"Macrobarasa xantholopha (Hampson, 1896)",3~12月,
ギンボシシャチホコ,"Rosama cinnamomea Leech, 1888",7月 / 6~7月、8~9月,年1化。 / 年2化、蛹越冬。
ギンモンシャチホコ,"Spatalia dives (Oberthür, 1884)",5~6月、7~8月,年2化。
ギンモンスズメモドキ,"Tarsolepis japonica (Wileman & South, 1917)",7~8月,年1化。蛹越冬。
クシヒゲシャチホコ,"Ptilophora nohirae (Matsumura, 1920)",10月下旬~12月上旬,年1化。卵越冬。
クニガミキノカワガ,"Gadirtha sp. of Kishida, 2011",5月,
クニガミスゲドクガ,"Laelia kunigamiensis Kishida, 1995",4~5月と11月,
クモマウスグロヤガ,"Euxoa ochrogaster (Guenée, 1852)",8月,高地での採集。越夏する。
クリイロアツバ,"Rivula plumipes (Hampson, 1907)",5~11月,
クロエグリシャチホコ,"Ptilodon okanoi (Inoue, 1958)",6月と8月,年2化。蛹越冬。
クロオビアツバ,"Anatatha wilemani (Sugi, 1958)",5~8月,
クロシタシャチホコ,"Mesophalera sigmata (Butler, 1877)",6~9月,年2化。土中で幼虫態で越冬する。
クロスジアツバ,"Herminia grisealis (Denis & Schiffermüller, 1775)",4~9月,年2化以上。
クロスジシャチホコ,"Lophocosma sarantuja (Schintlmeister & Kinoshita, 1984)",5~7月と8~9月,年2化。土中で蛹越冬。
クロスジユミモンクチバ,"Melapia japonica (Ogata, 1961)",5~10月,多化と推定される。
クロツマキシャチホコ,"Phalera minor (Nagano, 1916)",6~8月,年1化。蛹越冬。
クロテンシャチホコ,"Ellida branickii (Oberthür, 1880)",4~6月と7~8月,年2化。蛹越冬。
クロモンドクガ,"Kuromondokuga niphonis (Butler, 1881)",6~7月と8~9月,年2化。
クワゴモドキシャチホコ,"Gonoclostera timoniorum (Bremer, 1861)",春から秋遅く (本州)、6月初旬、7月下旬 (北海道),暖地では年3化し、北海道では年2化である。蛹越冬。
クワヤマエグリシャチホコ,"Ptilodon kuwayamae (Matsumura, 1919)",6月初旬と8月,2化。
ゲンカイハガタシャチホコ,"Hagapteryx kishidai Nakamura, 1978",5月から8月,年1化。
コウスグロアツバ,"Hypertrocon southi (Owada, 1982)",不明,
コクシエグリシャチホコ,"Odontosia marumoi Inoue, 1955",5月下旬から7月下旬,年1化。
コシロオビドクガ,"Numenes disparilis (Staudinger, 1887)",6~7月と8~9月,年2化。
コシロモンドクガ,"Orgyia postica (Walker, 1855)",3、6、7、11月など,くわしい化性などは不明。
コフタオビシャチホコ,"Gluphisia crenata (Esper, 1785)",5月と8月,年2化。
コブヒゲアツバ,"Zanclognatha lunalis (Scopoli, 1763)",7~8月,年1化。
コヘリグロクチバ,"Ophiusa olista (Swinhoe, 1893)",5~6月、7~9月,年2化。
ゴマダラシャチホコ,"Palaeostauropus obliteratus (Wileman & South, 1917)",8~10月,年1化。
ゴマフリドクガ,"Somena pulverea (Leech, 1889)",5月と7~8月,年2化。
サカグチキドクガ,"Artaxa sakaguchii (Matsumura, 1927)",6~8月、10月,くわしい化性は不明。
サビモンエグリバ,"Plusiodonta tominagaorum (Kishida, 2010)",7月,
シタキドクガ,"Calliteara taiwana (Wileman, 1910)",6月と8~10月,年2化。
シャチホコガ,"Stauropus fagi (Linnaeus, 1758)",5月前後、8月前後,年2化。蛹で越冬。
シラナミアツバ,"Herminia innocens Butler, 1879",4月から10月,年3~4化。
シラフアカガネアツバ,"Rivula albipunctata (Yoshimoto, 1996)",7月,
シラホシアシブトクチバ,"Achaea janata (Linnaeus, 1758)",7~12月,
シロオビクルマコヤガ,"Trisateles emortualis (Denis & Schiffermüller, 1775)",5~8月,
シロオビドクガ,"Numenes albofascia (Leech, 1889)",6~7月と8~9月,年2化。
シロクビキリガ,"Lithophane consocia (Borkhausen, 1792)",10月～5月,年1化。成虫で越冬する。
シロシタマイマイ,"Lymantria albescens (Hori & Umeno, 1930)",6~7月,年1化。卵で越冬する。
シロシャチホコ,"Cnethodonta japonica (Sugi, 1980)",5~6月と8~9月,2化。
シロジマシャチホコ,"Pheosia rimosa (Packard, 1864)",5月下旬~6月上旬と7~8月 (本州)、7~8月 (北海道),本州では年2化。北海道では年1化と考えられる。蛹越冬。
シロスジアツバ,"Bertula spacoalis (Walker, 1859)",6~9月,年1~2化し。
